file,rule_id,title,severity,status,evidence,explanation,score,overall,doc_type,profile
infection.docx,SUMMARY,Итог по документу,,fail,,score=0.0,0.0,fail,inpatient,infektsionka
infection.docx,R-001,"Обязательные реквизиты заполнены (ФИО, ИИН, дата, отделение)",high,fail,ИИН не найден | Дата найдена | Отделение найдено,"Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.; Грубая проверка: найден ли ИИН, даты, отделение и ФИО/поля пациента.",0.0,fail,inpatient,infektsionka
infection.docx,R-002,Диагноз и коды МКБ-10 оформлены корректно,high,fail,B01.077 | B02.061 | B02.114,Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.; Проверка по наличию шаблонов МКБ-10 в тексте.,0.0,fail,inpatient,infektsionka
infection.docx,R-003,Назначения и исследования отражены,medium,fail,B01.077.001 | B02.061.002 | B02.114.002,Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.; Поиск листа назначений и кодов услуг.,0.0,fail,inpatient,infektsionka
infection.docx,R-004,Новорождённые: Апгар и заключительный диагноз,high,fail,,,0.0,fail,inpatient,infektsionka
infection.docx,R-005,Хронология дат согласована,medium,fail,2025-09-02,Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.; Эвристика по количеству дат в документе.,0.0,fail,inpatient,infektsionka
infection.docx,INF-001,Профиль: инфекционное заболевание подтверждён/обоснован,high,fail,B01.077 | B02.061,Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.; Проверка МКБ-10 A/B и наличия эпиданамнеза.,0.0,fail,inpatient,infektsionka
infection.docx,INF-002,Эпиданамнез оформлен,high,fail,,Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.; Поиск раздела/упоминаний эпиданамнеза.,0.0,fail,inpatient,infektsionka
infection.docx,INF-003,Экстренное извещение (форма 058/у) оформлено и направлено в срок,high,fail,,Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.; Поиск 058/у/экстренного извещения/СЭК.,0.0,fail,inpatient,infektsionka
infection.docx,INF-004,Режим изоляции/бокса и инфекционный контроль,high,fail,,Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.; Поиск слов: изоляция/бокс/кохорт.,0.0,fail,inpatient,infektsionka
infection.docx,INF-005,Забор биоматериала и лабораторная диагностика,high,fail,,Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.; Наличие ПЦР/посев/микробиология.,0.0,fail,inpatient,infektsionka
infection.docx,INF-006,Маршрутизация и оповещение СЭК/контактных,medium,fail,,Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.; Поиск списка контактных/оповещения.,0.0,fail,inpatient,infektsionka
infection.docx,INF-007,Этиотропная терапия обоснована,medium,fail,,Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.; Эвристика по наличию листа назначений.,0.0,fail,inpatient,infektsionka
infection.docx,INF-008,ИСМП (если есть): регистрация и расследование,high,fail,,,0.0,fail,inpatient,infektsionka
infection.docx,INF-009,001/у ведётся своевременно,medium,fail,,Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.; Поиск приёмного раздела/ежедневных записей.,0.0,fail,inpatient,infektsionka
infection.docx,INF-010,Контроль контактов по отделению,low,fail,,Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.; Поиск записей о наблюдении контактных.,0.0,fail,inpatient,infektsionka
infection.docx,INF-011,Памятка/обучение пациента,low,fail,,Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.; Поиск выдачи памятки/инструктажа.,0.0,fail,inpatient,infektsionka
